assignee,cohort,promoted,seg_id,n_pts,acc,err,dur,f_spine,f_nucleus,f_dendrite,f_axon,f_soma
E01,expert,0,864691135104203853,8,1.0,0,217.342591047287,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135517422218,7,0.8571428571428571,1,169.79966354370117,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.1428571428571428
E01,expert,0,864691135753932237,8,1.0,0,248.01940846443176,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135367058169,8,1.0,0,281.82059955596924,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135293126156,8,1.0,0,217.1546609401703,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691136134678667,8,1.0,0,107.98810911178587,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135974639471,8,1.0,0,168.24740624427795,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135953898760,8,1.0,0,121.8215992450714,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135293324812,8,1.0,0,167.46791911125183,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135609687047,8,1.0,0,9.297666788101196,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691136951664863,8,1.0,0,96.90389561653136,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691136008689326,8,1.0,0,182.9123682975769,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691136023889209,8,1.0,0,206.98199200630188,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135564752471,8,1.0,0,86.47113680839539,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691136011067043,8,1.0,0,76.02247285842896,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691136378815445,8,1.0,0,130.58066201210022,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135584074360,8,1.0,0,113.85404014587402,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135915343462,8,1.0,0,111.1544098854065,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135462420637,8,1.0,0,99.31275820732117,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135775906989,8,1.0,0,137.40968990325928,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691136925601354,8,1.0,0,177.85223150253296,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691135415666362,8,1.0,0,131.0417251586914,0.25,0.125,0.25,0.25,0.125
E01,expert,0,864691136378859477,8,0.875,1,149.7195041179657,0.375,0.125,0.125,0.25,0.125
