n_pts,strict,relax,acc_strict,acc_relax,assignee,cohort,promoted
103,103,103,1.0,1.0,S30,student,1
127,127,127,1.0,1.0,S23,student,0
119,118,118,0.9915966386554622,0.9915966386554622,E08,expert,0
119,118,118,0.9915966386554622,0.9915966386554622,S03,student,1
223,221,221,0.9910313901345292,0.9910313901345292,E01,expert,0
223,221,221,0.9910313901345292,0.9910313901345292,S05,student,1
111,110,110,0.990990990990991,0.990990990990991,S01,student,0
215,213,213,0.9906976744186048,0.9906976744186048,S28,student,0
215,213,213,0.9906976744186048,0.9906976744186048,E03,expert,0
104,103,103,0.9903846153846154,0.9903846153846154,S26,student,1
103,102,102,0.9902912621359224,0.9902912621359224,S10,student,0
224,221,221,0.9866071428571428,0.9866071428571428,S22,student,1
214,211,211,0.985981308411215,0.985981308411215,E07,expert,0
191,188,188,0.9842931937172776,0.9842931937172776,S24,student,1
183,180,180,0.9836065573770492,0.9836065573770492,S13,student,0
111,109,109,0.981981981981982,0.981981981981982,S21,student,0
216,212,212,0.9814814814814816,0.9814814814814816,E04,expert,0
96,94,94,0.9791666666666666,0.9791666666666666,S29,student,0
215,208,210,0.9674418604651164,0.9767441860465116,S17,student,0
225,219,219,0.9733333333333334,0.9733333333333334,S11,student,0
219,213,213,0.9726027397260274,0.9726027397260274,S16,student,0
218,212,212,0.9724770642201837,0.9724770642201837,E02,expert,0
79,76,76,0.9620253164556962,0.9620253164556962,S07,student,0
215,206,206,0.958139534883721,0.958139534883721,S09,student,0
119,114,114,0.957983193277311,0.957983193277311,S19,student,0
207,198,198,0.9565217391304348,0.9565217391304348,S27,student,0
224,210,210,0.9375,0.9375,S08,student,0
223,209,209,0.937219730941704,0.937219730941704,S18,student,0
111,103,103,0.927927927927928,0.927927927927928,S20,student,1
229,212,212,0.925764192139738,0.925764192139738,S12,student,0
151,139,139,0.9205298013245032,0.9205298013245032,S02,student,0
103,80,80,0.7766990291262136,0.7766990291262136,S06,student,0
129,97,97,0.751937984496124,0.751937984496124,S25,student,0
200,150,150,0.75,0.75,E05,expert,0
63,46,46,0.7301587301587301,0.7301587301587301,E06,expert,0
215,156,156,0.7255813953488373,0.7255813953488373,S04,student,0
82,18,18,0.2195121951219512,0.2195121951219512,S15,student,0
