assignee,tier,events,navigate_pct,segment_pct,nav_edit_ratio,dist_to_expert,rank
U09,expert,9304,69.8,16.0,4.35,0.0,1
E05,student,4545,66.3,24.9,2.66,0.105,2
S11,student,41352,68.3,23.1,2.96,0.118,3
S22,student,729,76.3,20.3,3.76,0.123,4
S25,student,880,76.4,21.9,3.48,0.144,5
E01,student,4084,60.3,27.0,2.24,0.145,6
S27,student,9396,59.1,25.7,2.3,0.146,7
S07,student,675,60.7,27.9,2.18,0.153,8
U06,student,480,65.8,28.7,2.29,0.153,9
E08,student,1594,60.1,28.8,2.09,0.162,10
S17,student,6260,65.6,29.7,2.21,0.167,11
U03,student,841,64.2,30.1,2.13,0.168,12
S05,student,1063,56.7,30.6,1.86,0.196,13
S24,student,150,62.0,32.7,1.9,0.199,14
S02,student,5094,62.9,32.7,1.93,0.203,15
E03,student,1905,57.1,32.0,1.78,0.205,16
S01,student,1870,61.0,33.2,1.84,0.207,17
E04,student,428,54.4,29.9,1.82,0.209,18
U08,core,17531,58.3,32.4,1.8,0.211,19
E06,student,2914,57.3,32.8,1.75,0.212,20
U07,student,446,60.3,34.5,1.75,0.222,21
U04,student,157,54.8,33.8,1.62,0.233,22
S10,student,1043,52.3,33.6,1.56,0.25,23
S28,student,146,53.4,35.6,1.5,0.256,24
S08,student,695,47.5,32.4,1.47,0.284,25
E02,student,484,46.9,38.0,1.23,0.318,26
U05,student,526,46.6,39.4,1.18,0.329,27
S21,student,329,47.4,41.3,1.15,0.338,28
S26,student,618,48.1,41.9,1.15,0.339,29
S16,student,384,52.3,44.0,1.19,0.343,30
U14,student,452,47.1,41.8,1.13,0.344,31
S20,student,398,42.0,33.9,1.24,0.349,32
S30,student,543,44.0,42.2,1.04,0.367,33
S09,student,721,45.1,43.3,1.04,0.373,34
U13,student,145,40.7,39.3,1.04,0.379,35
S03,student,643,42.3,43.7,0.97,0.39,36
U02,core,1213,44.4,45.8,0.97,0.393,37
U01,student,1133,45.5,47.8,0.95,0.405,38
S29,student,119,42.0,46.2,0.91,0.41,39
E07,student,2488,35.9,50.6,0.71,0.484,40
U11,student,116,36.2,52.6,0.69,0.497,41
S19,student,226,35.8,55.3,0.65,0.521,42
U12,student,235,30.2,63.8,0.47,0.625,43
