user,n_tiered,highest,span,learn_slope,early_expertfrac,late_expertfrac,ceiling,state
S02,110,3,2,0.86,0.0,1.0,expert,LEARNING↑
S13,116,3,2,0.86,0.0,1.0,expert,LEARNING↑
S01,120,3,2,0.85,0.0,1.0,expert,LEARNING↑
S05,144,3,2,0.82,0.0,1.0,expert,LEARNING↑
E07,1693,3,3,0.79,0.0,1.0,expert,LEARNING↑
U08,244,3,3,0.76,0.09,1.0,expert,LEARNING↑
S03,230,3,2,0.71,0.34,1.0,expert,LEARNING↑
E06,1191,3,3,0.66,0.45,1.0,expert,LEARNING↑
S11,290,3,2,0.65,0.48,1.0,expert,LEARNING↑
S25,60,3,2,0.65,0.0,0.5,expert,LEARNING↑
S27,332,3,2,0.62,0.55,1.0,expert,LEARNING↑
U09,1875,3,3,0.27,0.64,0.85,expert,LEARNING↑
E05,582,3,3,0.03,0.3,0.0,expert,mixed
E01,737,3,3,-0.32,0.64,0.0,expert,mixed
E04,1088,3,3,-0.46,0.62,0.0,expert,mixed
E02,1116,3,3,-0.47,0.74,0.0,expert,mixed
E03,1141,3,3,-0.48,0.74,0.0,expert,mixed
U02,389,3,3,-0.61,0.78,0.02,expert,mixed
E08,1339,3,3,-0.7,0.87,0.0,expert,mixed
S22,50,2,1,0.0,0.0,0.0,inter,stable
