assignee,cohort,promoted,n_pts,acc,err,dur
E01,expert,0,8,1.0,0,217.342591047287
E01,expert,0,7,0.8571428571428571,1,169.79966354370117
E01,expert,0,8,1.0,0,248.01940846443176
E01,expert,0,8,1.0,0,281.82059955596924
E01,expert,0,8,1.0,0,217.1546609401703
E01,expert,0,8,1.0,0,107.98810911178587
E01,expert,0,8,1.0,0,168.24740624427795
E01,expert,0,8,1.0,0,121.8215992450714
E01,expert,0,8,1.0,0,167.46791911125183
E01,expert,0,8,1.0,0,9.297666788101196
E01,expert,0,8,1.0,0,96.90389561653136
E01,expert,0,8,1.0,0,182.9123682975769
E01,expert,0,8,1.0,0,206.98199200630188
E01,expert,0,8,1.0,0,86.47113680839539
E01,expert,0,8,1.0,0,76.02247285842896
E01,expert,0,8,1.0,0,130.58066201210022
E01,expert,0,8,1.0,0,113.85404014587402
E01,expert,0,8,1.0,0,111.1544098854065
E01,expert,0,8,1.0,0,99.31275820732117
E01,expert,0,8,1.0,0,137.40968990325928
E01,expert,0,8,1.0,0,177.85223150253296
E01,expert,0,8,1.0,0,131.0417251586914
E01,expert,0,8,0.875,1,149.7195041179657
E01,expert,0,8,1.0,0,73.55217957496643
E01,expert,0,8,1.0,0,84.95685505867004
E01,expert,0,8,1.0,0,145.6269769668579
E01,expert,0,8,1.0,0,102.72421002388
E01,expert,0,8,1.0,0,165.65678358078003
E02,expert,0,8,1.0,0,163.7809464931488
E02,expert,0,7,0.8571428571428571,1,112.66299748420715
E02,expert,0,9,0.7777777777777778,1,223.8283519744873
E02,expert,0,8,1.0,0,169.66400742530823
E02,expert,0,8,1.0,0,129.19216775894165
E02,expert,0,8,1.0,0,131.94816970825195
E02,expert,0,8,1.0,0,91.0708258152008
E02,expert,0,8,1.0,0,119.54662489891052
E02,expert,0,8,1.0,0,90.0117859840393
E02,expert,0,8,1.0,0,82.0016725063324
E02,expert,0,8,1.0,0,100.25319480895996
E02,expert,0,8,1.0,0,96.2620918750763
E02,expert,0,8,1.0,0,222.54855585098267
E02,expert,0,10,0.8,1,159.80580377578735
E02,expert,0,8,1.0,0,87.41754603385925
E02,expert,0,8,1.0,0,139.43866181373596
E02,expert,0,8,1.0,0,82.3611831665039
E02,expert,0,8,1.0,0,98.69893503189088
E02,expert,0,8,1.0,0,96.74451804161072
E02,expert,0,8,1.0,0,234.3112211227417
E02,expert,0,8,1.0,0,167.4054250717163
E02,expert,0,8,0.875,1,189.14892506599423
E02,expert,0,8,1.0,0,92.4145176410675
E02,expert,0,8,1.0,0,102.17222452163696
E02,expert,0,8,1.0,0,74.54715156555176
E02,expert,0,8,1.0,0,85.51790881156921
E02,expert,0,8,1.0,0,84.42865777015686
E03,expert,0,8,1.0,0,186.0673136711121
E03,expert,0,7,1.0,0,167.0084934234619
E03,expert,0,8,1.0,0,139.55203795433044
E03,expert,0,8,1.0,0,236.50774550437927
E03,expert,0,8,1.0,0,234.03910183906555
E03,expert,0,8,1.0,0,159.14434504508972
E03,expert,0,8,1.0,0,369.2901985645294
E03,expert,0,8,1.0,0,98.39323019981384
E03,expert,0,8,1.0,0,98.73552060127258
E03,expert,0,8,1.0,0,107.7111599445343
E03,expert,0,8,1.0,0,168.0137436389923
E03,expert,0,8,1.0,0,122.46859741210938
E03,expert,0,8,1.0,0,105.78684139251708
E03,expert,0,8,1.0,0,121.92614984512328
E03,expert,0,8,1.0,0,2.271161794662476
E03,expert,0,8,1.0,0,219.2619376182556
E03,expert,0,8,1.0,0,130.83475494384766
E03,expert,0,8,1.0,0,131.07978343963623
E03,expert,0,8,1.0,0,148.24761939048767
E03,expert,0,8,0.875,1,299.0087523460388
E03,expert,0,8,1.0,0,226.73402857780457
E03,expert,0,8,0.875,1,144.16122579574585
E03,expert,0,8,1.0,0,110.3219437599182
E03,expert,0,8,1.0,0,106.6838173866272
E03,expert,0,8,1.0,0,151.91926074028015
E03,expert,0,8,1.0,0,154.4824984073639
E03,expert,0,8,1.0,0,151.23874163627625
E04,expert,0,8,1.0,0,160.11455821990967
E04,expert,0,7,0.8571428571428571,1,171.42484951019287
E04,expert,0,8,1.0,0,131.3536126613617
E04,expert,0,8,1.0,0,189.06042075157168
E04,expert,0,8,1.0,0,74.42385149002075
E04,expert,0,8,1.0,0,135.1983721256256
E04,expert,0,8,1.0,0,84.39804005622864
E04,expert,0,9,0.8888888888888888,1,121.09822583198547
E04,expert,0,8,1.0,0,112.14111471176147
E04,expert,0,8,1.0,0,90.4248034954071
E04,expert,0,8,1.0,0,165.37421250343323
E04,expert,0,8,1.0,0,96.8153383731842
E04,expert,0,8,1.0,0,120.82642459869383
E04,expert,0,8,1.0,0,100.18823719024658
E04,expert,0,8,1.0,0,67.37266635894775
E04,expert,0,8,1.0,0,63.77363395690918
E04,expert,0,8,1.0,0,95.80952095985413
E04,expert,0,8,1.0,0,103.72782731056212
E04,expert,0,8,1.0,0,84.65394854545593
E04,expert,0,8,0.875,1,229.23358011245728
E04,expert,0,8,1.0,0,84.72329616546631
E04,expert,0,8,0.875,1,444.8801476955414
E04,expert,0,8,1.0,0,83.67277312278748
E04,expert,0,8,1.0,0,65.78633093833923
E04,expert,0,8,1.0,0,121.66408896446228
E04,expert,0,8,1.0,0,84.62673330307007
E04,expert,0,8,1.0,0,87.32734060287476
E05,expert,0,8,0.75,1,370.3846504688263
E05,expert,0,8,0.75,1,283.1127631664276
E05,expert,0,8,0.75,1,185.60065388679504
E05,expert,0,8,0.75,1,106.36445260047913
E05,expert,0,8,0.75,1,175.6501076221466
E05,expert,0,8,0.75,1,87.97999143600464
E05,expert,0,8,0.75,1,69.35975050926208
E05,expert,0,8,0.75,1,98.32450675964355
E05,expert,0,8,0.75,1,84.64270639419556
E05,expert,0,8,0.75,1,76.34806060791016
E05,expert,0,8,0.75,1,176.35296726226807
E05,expert,0,8,0.75,1,73.91405296325684
E05,expert,0,8,0.75,1,157.02944231033325
E05,expert,0,8,0.75,1,264.94689106941223
E05,expert,0,8,0.75,1,129.2029595375061
E05,expert,0,8,0.75,1,75.77857208251953
E05,expert,0,8,0.75,1,106.21247029304504
E05,expert,0,8,0.75,1,83.76214694976807
E05,expert,0,8,0.75,1,122.40754532814026
E05,expert,0,8,0.75,1,98.8694145679474
E05,expert,0,8,0.75,1,96.23964071273804
E05,expert,0,8,0.75,1,108.59512448310852
E05,expert,0,8,0.75,1,102.6952292919159
E05,expert,0,8,0.75,1,90.07497262954712
E05,expert,0,8,0.75,1,95.38014125823976
E06,expert,0,8,0.75,1,987.8388330936432
E06,expert,0,7,0.7142857142857143,1,869.1626889705658
E06,expert,0,8,0.5,1,552.7478497028351
E06,expert,0,8,0.875,1,726.6044409275055
E06,expert,0,9,0.6666666666666666,1,662.8436226844788
E06,expert,0,8,0.75,1,186.21969318389893
E06,expert,0,8,0.75,1,228.6568772792816
E06,expert,0,7,0.8571428571428571,1,281.3638837337494
E07,expert,0,8,1.0,0,707.3169317245483
E07,expert,0,7,0.8571428571428571,1,198.23477125167847
E07,expert,0,8,1.0,0,259.1137201786041
E07,expert,0,8,1.0,0,795.9973356723785
